sentence,label,source,clean_sentence,token_count
"This item worked great, but it broke after 6 months of use.",0,amazon,item worked great broke months use,6
The headsets are easy to use and everyone loves them.,1,amazon,headsets easy use everyone loves,5
This phone works great.,1,amazon,phone works great,3
The construction of the headsets is poor.,0,amazon,construction headsets poor,3
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,amazon,product excellent works better verizon one boy cheaper,8
The phone loads super!,1,amazon,phone loads super,3
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,amazon,product costs much one expect work far better greater ease thing,11
Made very sturdy.,1,amazon,made sturdy,2
Worked great!.,1,amazon,worked great,2
The ear buds only play music in one ear.,0,amazon,ear buds play music one ear,6
Dont waste your money...,0,amazon,dont waste money,3
Will order from them again!,1,amazon,order,1
If you plan to use this in a car forget about it.,0,amazon,plan use car forget,4
I found this product to be waaay too big.,0,amazon,found product waaay big,4
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,amazon,best ive found far ive tried bluetooths one best quality listener well ease using,14
I'm very disappointed with my decision.,0,amazon,im disappointed decision,3
Integrated seamlessly with the Motorola RAZR phone.,1,amazon,integrated seamlessly motorola razr phone,5
"Buyer Beware, you could flush money right down the toilet.",0,amazon,buyer beware could flush money right toilet,7
Definitely a bargain.,1,amazon,definitely bargain,2
The price was very good and with the free shipping and all it was a good purchase.,1,amazon,price good free shipping good purchase,6
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,amazon,received supposedly new motorola apparently match phone charger,8
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,amazon,prosgood camera nice pictures also cool styles like black white,10
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,amazon,thats huge design flaw unless im using correctly dont think case,11
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,amazon,love headset jabra bluetooth headset great reception good ear piece comfortable fit,12
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,amazon,camera although rated impressive megapixels renders images fall well expectations relatively high resolution,13
I purcashed this for the car charger and it does not work.,0,amazon,purcashed car charger work,4
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,amazon,sound quality end excellent use headset call wife ask wife use headset call,13
This phone is slim and light and the display is beautiful.,1,amazon,phone slim light display beautiful,5
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,amazon,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,16
"Great product, fast shipping!.",1,amazon,great product fast shipping,4
Absolutely great.,1,amazon,absolutely great,2
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,amazon,keyboard nice compromise full qwerty basic cell phone number keypad,10
i got this phone around the end of may and i'm completely unhappy with it.,0,amazon,got phone around end may im completely unhappy,8
It is very comfortable on the ear.,1,amazon,comfortable ear,2
It has been a winner for us.,1,amazon,winner us,2
)Setup couldn't have been simpler.,1,amazon,setup couldnt simpler,3
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,amazon,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,16
Could not get strong enough signal.,0,amazon,could get strong enough signal,5
Iam very pleased with my purchase.,1,amazon,iam pleased purchase,3
Bad Quality.,0,amazon,bad quality,2
Gets the job done.,1,amazon,gets job done,3
Great audio!.,1,amazon,great audio,2
Basically the service was very bad.,0,amazon,basically service bad,3
it did not work in my cell phone plug i am very up set with the charger!.,0,amazon,work cell phone plug set charger,6
"I've only had my bluetooth for a few weeks, but I really like it.",1,amazon,ive bluetooth weeks really like,5
The BT headset was such a disapoinment.,0,amazon,bt headset disapoinment,3
It is so small and you don't even realize that it is there after a while of getting used to it.,1,amazon,small dont even realize getting used,6
The accompanied software is almost brilliant.,1,amazon,accompanied software almost brilliant,4
Headset works great & was packaged nicely to avoid any damage.,1,amazon,headset works great packaged nicely avoid damage,7
!I definitly recommend!!,1,amazon,definitly recommend,2
Buyer--Be Very Careful!!!!!.,0,amazon,buyerbe careful,2
The majority of the Logitech earbud headsets failed.,0,amazon,majority logitech earbud headsets failed,5
Very good stuff for the price.,1,amazon,good stuff price,3
My headset works just peachy-keen.,1,amazon,headset works peachykeen,3
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,amazon,house getting dropped coverage upstairs coverage basement,7
Voice recognition is tremendous!,1,amazon,voice recognition tremendous,3
What a waste.,0,amazon,waste,1
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,amazon,several different minute calls experienced drops area bars,8
I was not happy with this item.,0,amazon,happy item,2
very disappointed.,0,amazon,disappointed,1
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,amazon,phone takes forever charge like hours literally,7
I got this phone on reccomendation from a relative and I'm glad I did.,1,amazon,got phone reccomendation relative im glad,6
What a waste of time!,0,amazon,waste time,2
Its reception is very very poor.,0,amazon,reception poor,2
Items stated as included from the description ARE NOT INCLUDED.,0,amazon,items stated included description included,5
"After 3 months, screen just went black all of a sudden.",0,amazon,months screen went black sudden,5
I Was Hoping for More.,0,amazon,hoping,1
"Audio Quality is poor, very poor.",0,amazon,audio quality poor poor,4
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,amazon,absolutely problem headset linking blackberry curve,6
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,amazon,know sounds funny seemed like sketchy technology wouldnt work wellwell one works great,13
I've bought $5 wired headphones that sound better than these.,0,amazon,ive bought wired headphones sound better,6
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,amazon,phone fast sending kind messages web browsing significantly faster previous phones used,12
"Nice quality build, unlike some cheap s*** out there.",1,amazon,nice quality build unlike cheap,5
This item is fantastic and works perfectly!,1,amazon,item fantastic works perfectly,4
And I just love the colors!,1,amazon,love colors,2
W810i is just SUPERB.,1,amazon,wi superb,2
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,amazon,whine internet goesthe use thing less like,7
Great charger.,1,amazon,great charger,2
This is essentially a communications tool that does not communicate.,0,amazon,essentially communications tool communicate,4
Works like a charm; it work the same as the one I got with the phone.,1,amazon,works like charm work one got phone,7
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,amazon,still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans,14
Great Value.,1,amazon,great value,2
Doesn't work at all.. I bougth it for my L7c and its not working.,0,amazon,doesnt work bougth lc working,5
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,amazon,look sharp screen nice clear great graphics,7
doesn't last long.,0,amazon,doesnt last long,3
One thing I hate is the mode set button at the side.,0,amazon,one thing hate mode set button side,7
EXCELLENT SERVICE!!!!!!!!.,1,amazon,excellent service,2
Thank you for wasting my money.,0,amazon,thank wasting money,3
How can that be?The audio quality is poor.,0,amazon,bethe audio quality poor,4
The iGo chargers and tips are really great.,1,amazon,igo chargers tips really great,5
The file browser offers all the options that one needs.Handsfree is great.,1,amazon,file browser offers options one needshandsfree great,7
Superb Phone on a Great Network.,1,amazon,superb phone great network,4
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,amazon,connected wifes bluetoothmotorola hs phone worked like charm whether phone pocket case,12
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,amazon,put latest os vg likes slow crawl lock every,9
It only recognizes the Phone as its storage device.,0,amazon,recognizes phone storage device,4
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,amazon,like loud buzzing override conversations phone,6
Don't buy this product.,0,amazon,dont buy product,3
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,amazon,ive bluetoooth headset time still comfortable way fits ear,9
The sound quality is good and functionality is awesome.,1,amazon,sound quality good functionality awesome,5
"I have this phone and it is a thorn in my side, I really abhor it.",0,amazon,phone thorn side really abhor,5
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,amazon,recently problems could stay connected minutes disconnected,7
Incredible!.,1,amazon,incredible,1
Design Flaw?.,0,amazon,design flaw,2
Great phone!.,1,amazon,great phone,2
Waste of 13 bucks.,0,amazon,waste bucks,2
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,amazon,check voice mail night keypad backlight turns seconds first message im lost,12
The replacement died in a few weeks.,0,amazon,replacement died weeks,3
Any ring tone..Overall good phone to buy..,1,amazon,ring toneoverall good phone buy,5
Lately they have been extremely nice and helpful on the phone.,1,amazon,lately extremely nice helpful phone,5
I have had problems wit hit dropping signal and more.,0,amazon,problems wit hit dropping signal,5
Not impressed.,0,amazon,impressed,1
"Light weight, I hardly notice it is there.",1,amazon,light weight hardly notice,4
You'll love how thin it is.,1,amazon,youll love thin,3
Bad Choice.,0,amazon,bad choice,2
The pleather case doesn't fit.,0,amazon,pleather case doesnt fit,4
"useless phone, simply deaf.",0,amazon,useless phone simply deaf,4
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,amazon,color even prettier thought would graphics incredibly sharp,8
All in all I think it was a good investment.,1,amazon,think good investment,3
It makes very strange ticking noises before it ends the call.,0,amazon,makes strange ticking noises ends call,6
The best electronics of the available FM Transmitters.,1,amazon,best electronics available fm transmitters,5
Battery lasts only a few hours.,0,amazon,battery lasts hours,3
"great headset, very impressed - H500.",1,amazon,great headset impressed h,4
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,amazon,mega pixel camera part phone reasonably good,7
I've had this for nearly 2 years and it has worked great for me.,1,amazon,ive nearly years worked great,5
Good transmit audio.,1,amazon,good transmit audio,3
We are sending it back.,0,amazon,sending back,2
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,amazon,bother contacting company dollar product learned lesson bought form online anyway,11
"If you hate earbugs, avoid this phone by all means.",0,amazon,hate earbugs avoid phone means,5
Great price also!,1,amazon,great price also,3
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,amazon,range decent ive able roam around house phone living room receptionsound quality issues,13
fast service.,1,amazon,fast service,2
I would highly recommend this.,1,amazon,would highly recommend,3
I would recommend this.,1,amazon,would recommend,2
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,amazon,also didnt like button felt like would crack use,9
WORST PHONE EVER.,0,amazon,worst phone ever,3
I'm still infatuated with this phone.,1,amazon,im still infatuated phone,4
Freezes frequently4.,0,amazon,freezes frequently,2
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,amazon,kind embarrassing use looks mostly embarrassing childlike company,8
"Simple, lightweight and great fit.",1,amazon,simple lightweight great fit,4
"All in all, I'd expected a better consumer experience from Motorola.",0,amazon,id expected better consumer experience motorola,6
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,amazon,theres horrible tick sound background calls never experienced,8
These are certainly very comfortable and functionality is decent.,1,amazon,certainly comfortable functionality decent,4
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,amazon,usually dont like headbands one lightweight doesnt mess hair,9
I'm a bit disappointed.,0,amazon,im bit disappointed,3
"I have had this phone for over a year now, and I will tell you, its not that great.",0,amazon,phone year tell great,4
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,amazon,ordered sony ericsson wi think worked thats first used,9
The battery is completely useless to me.,0,amazon,battery completely useless,3
What a big waste of time.,0,amazon,big waste time,3
Don't waste your $$$ on this one.,0,amazon,dont waste one,3
Great sound and service.,1,amazon,great sound service,3
Really pleased with this product so far.,1,amazon,really pleased product far,4
One of my favorite purchases ever.,1,amazon,one favorite purchases ever,4
best bluetooth on the market.,1,amazon,best bluetooth market,3
Authentic leather with nice shine and comfort .I recommend you this case !!,1,amazon,authentic leather nice shine comfort recommend case,7
I was very excited to get this headset because I thought it was really cute.,1,amazon,excited get headset thought really cute,6
Do not make the same mistake as me.,0,amazon,make mistake,2
Big Disappointment with calendar sync.,0,amazon,big disappointment calendar sync,4
the phone was unusable and was not new.,0,amazon,phone unusable new,3
Worst Customer Service Ever.,0,amazon,worst customer service ever,4
"No additional ear gels provided, and no instructions whatsoever.",0,amazon,additional ear gels provided instructions whatsoever,6
It defeats the purpose of a bluetooth headset.,0,amazon,defeats purpose bluetooth headset,4
Worth every penny.,1,amazon,worth every penny,3
Excellent wallet type phone case.,1,amazon,excellent wallet type phone case,5
Nice headphones for the price and they work great!,1,amazon,nice headphones price work great,5
Internet is excrutiatingly slow.,0,amazon,internet excrutiatingly slow,3
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,amazon,comfortable wear well probably important aspect using case,8
"It's fits like a glove and is strong, secure, and durable.",1,amazon,fits like glove strong secure durable,6
O my gosh the best phone I have ever had.,1,amazon,gosh best phone ever,4
It's very attractive and appears to be of good quality.,1,amazon,attractive appears good quality,4
I love all the features and form factor.,1,amazon,love features form factor,4
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,amazon,product strong rubberpetroleum smell unbearable caused return,7
poor quality and service.,0,amazon,poor quality service,3
"The cable looks so thin and flimsy, it is scary.",0,amazon,cable looks thin flimsy scary,5
Great Earpiece.,1,amazon,great earpiece,2
Excellent hands free tool.,1,amazon,excellent hands free tool,4
Great for using with your home stereo.,1,amazon,great using home stereo,4
Good product - incredible value.,1,amazon,good product incredible value,4
Only had this a month but it's worked flawlessly so far.,1,amazon,month worked flawlessly far,4
Works great.,1,amazon,works great,2
Absolutel junk.,0,amazon,absolutel junk,2
THAT one didn't work either.,0,amazon,one didnt work either,4
Battery life is real good.,1,amazon,battery life real good,4
Returned 8 hours later.,0,amazon,returned hours later,3
It's a great item.,1,amazon,great item,2
Don't waste your money!.,0,amazon,dont waste money,3
Love this headset!,1,amazon,love headset,2
"Not only will it drain your player, but may also potentially fry it.",0,amazon,drain player may also potentially fry,6
Worked perfectly!,1,amazon,worked perfectly,2
Unreliable - I'm giving up.,0,amazon,unreliable im giving,3
I gave it 5 stars because of the sound quality.,1,amazon,gave stars sound quality,4
Avoid this one if you can.,0,amazon,avoid one,2
Reversible plug works great.,1,amazon,reversible plug works great,4
I wasted my little money with this earpiece.,0,amazon,wasted little money earpiece,4
Very good phone.,1,amazon,good phone,2
"Best of all is the rotating feature, very helpful.",1,amazon,best rotating feature helpful,4
Comfort for our whole family.,1,amazon,comfort whole family,3
"Good product, good seller.",1,amazon,good product good seller,4
I love this bluetooth!,1,amazon,love bluetooth,2
"First of all, it doesn't wear well.",0,amazon,first doesnt wear well,4
I am very impressed with this headset from Plantronics.,1,amazon,impressed headset plantronics,3
I got it because it was so small and adorable.,1,amazon,got small adorable,3
Great phone!.,1,amazon,great phone,2
I wouldn't recommend buying this product.,0,amazon,wouldnt recommend buying product,4
Piece of Junk.,0,amazon,piece junk,2
Poorly contstruct hinge.,0,amazon,poorly contstruct hinge,3
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,amazon,item great installed let charged overnite working good every since problems,11
Great Phone.,1,amazon,great phone,2
Don't buy it.,0,amazon,dont buy,2
Excellent Phone.,1,amazon,excellent phone,2
DO NOT PURCHASE THIS PHONE.,0,amazon,purchase phone,2
The voice recognition thru the handset is excellent.,1,amazon,voice recognition thru handset excellent,5
This is hands down the best phone I've ever had.,1,amazon,hands best phone ive ever,5
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,amazon,works great cat attacked phone scratched protective strip instead destroying screen,11
This one works and was priced right.,1,amazon,one works priced right,4
Customer service was terrible.,0,amazon,customer service terrible,3
Battery life still not long enough in Motorola Razor V3i.,0,amazon,battery life still long enough motorola razor vi,8
Sending it back.,0,amazon,sending back,2
Now I know that I made a wise decision.,1,amazon,know made wise decision,4
Someone shouldve invented this sooner.,1,amazon,someone shouldve invented sooner,4
Good price.,1,amazon,good price,2
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,amazon,everything worked first trythe device certainly engineered clever way construction feels good,12
I received it quickly and it works great!!,1,amazon,received quickly works great,4
Has been working great.,1,amazon,working great,2
"As many people complained, I found this headset's microphone was very weak.",0,amazon,many people complained found headsets microphone weak,7
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,amazon,year old nokia tracfone holds charge lot better,8
They do not care about the consumer one bit.,0,amazon,care consumer one bit,4
"This is a good battery, and it got here really fast.",1,amazon,good battery got really fast,5
The instruction manual is lacking.,0,amazon,instruction manual lacking,3
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,amazon,also slim enough fit alarm clock docking station without removing case,11
Phone now holds charge like it did when it was new.,1,amazon,phone holds charge like new,5
The battery is unreliable as well as the service use antena.,0,amazon,battery unreliable well service use antena,6
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,amazon,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,13
We have gotten a lot of compliments on it.,1,amazon,gotten lot compliments,3
This is definitely a must have if your state does not allow cell phone usage while driving.,1,amazon,definitely must state allow cell phone usage driving,8
I want my money back.,0,amazon,want money back,3
I love this device.,1,amazon,love device,2
I am also very happy with the price.,1,amazon,also happy price,3
I ordered this product first and was unhappy with it immediately.,0,amazon,ordered product first unhappy immediately,5
The Ngage is still lacking in earbuds.,0,amazon,ngage still lacking earbuds,4
I was able to do voice dialing in the car with no problem.,1,amazon,able voice dialing car problem,5
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,amazon,bars cell phone home cant hear anything,7
"good item, low price.",1,amazon,good item low price,4
"However-the riingtones are not the best, and neither are the games.",0,amazon,howeverthe riingtones best neither games,5
The plug did not work very well.,0,amazon,plug work well,3
AMAZON SUCKS.,0,amazon,amazon sucks,2
Rip off---- Over charge shipping.,0,amazon,rip charge shipping,3
VERY comfortable.,1,amazon,comfortable,1
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,amazon,battery working well replacement original came phone years ago,9
The reception is excellent!,1,amazon,reception excellent,2
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,amazon,fits comfortably either ear sound clear loud charge lasts couple days,11
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,amazon,clear quality sound dont mess sound ipod since sound buttons headset,11
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,amazon,long lasting battery dont recharge frequentyly flip phones,8
Obviously there is a problem with the adhesive.,0,amazon,obviously problem adhesive,3
Very disappointing.,0,amazon,disappointing,1
"It was an inexpensive piece, but I would still have expected better quality.",0,amazon,inexpensive piece would still expected better quality,7
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,amazon,practically useless add kind boost reception bought,7
Excellent sound quality.,1,amazon,excellent sound quality,3
Was not happy.,0,amazon,happy,1
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,amazon,piece junk broke phone days,5
New Battery works great in phone.,1,amazon,new battery works great phone,5
Worst customer service.,0,amazon,worst customer service,3
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,amazon,ive dropped phone times say even concrete phone still great knock wood,12
Reception is terrible and full of static.,0,amazon,reception terrible full static,4
Good audio quality.,1,amazon,good audio quality,3
This little device has transformed my organizational capability and made my life a whole lot easier.,1,amazon,little device transformed organizational capability made life whole lot easier,10
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,amazon,sitting vehicle cradle belt headset lost signal,7
Were JERKS on the phone.,0,amazon,jerks phone,2
Works like a charm.. Works as advertised.,1,amazon,works like charm works advertised,5
"Comfortable, Nice Range, Good Battery Life.",1,amazon,comfortable nice range good battery life,6
Their network coverage in Los Angeles is horrible.,0,amazon,network coverage los angeles horrible,5
Excellent starter wireless headset.,0,amazon,excellent starter wireless headset,4
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,amazon,loudspeaker option great bumpers lights appealing,6
The only thing that I think could improve is the sound leaks out from the headset.,0,amazon,thing think could improve sound leaks headset,7
"First off the reception sucks, I have never had more than 2 bars, ever.",0,amazon,first reception sucks never bars ever,6
The phone gets EXTREMELY HOT!,0,amazon,phone gets extremely hot,4
"The microphone also works well, but (according to people I have called) it applifies everything.",1,amazon,microphone also works well according people called applifies everything,9
Nice design and quality.,1,amazon,nice design quality,3
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,amazon,also phone dropped case going save specially dropped face,9
"It is light, easy to use, and has very clear reception and transmission.",1,amazon,light easy use clear reception transmission,6
"bad fit, way too big.",0,amazon,bad fit way big,4
It definitely was not as good as my S11.,1,amazon,definitely good,2
awesome device.,1,amazon,awesome device,2
Waste of money.,0,amazon,waste money,2
"I had ordered a motorola data cable, got a very well finished and working product.",1,amazon,ordered motorola data cable got well finished working product,9
Love This Phone.,1,amazon,love phone,2
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,amazon,looking headset long time ive got couldnt happier,8
"I'll be drivng along, and my headset starts ringing for no reason.",0,amazon,ill drivng along headset starts ringing reason,7
Display is excellent and camera is as good as any from that year.,1,amazon,display excellent camera good year,5
Battery life is also great!,1,amazon,battery life also great,4
